BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         693     2.11378      2.0379  0.00139669
         694     2.11386     2.03801  0.00139895
         695     2.11394     2.03812   0.0014012
         696     2.11403     2.03823  0.00140343
         697     2.11412     2.03834  0.00140563
         698     2.11421     2.03845  0.00140781
         699      2.1143     2.03856  0.00140997
         700     2.11438     2.03867  0.00141212
         701     2.11447     2.03877  0.00141424
         702     2.11455     2.03888  0.00141633
         703     2.11462     2.03899  0.00141841
         704     2.11469      2.0391  0.00142047
         705     2.11475      2.0392   0.0014225
         706      2.1148     2.03931  0.00142451
         707     2.11484     2.03942  0.00142649
         708     2.11488     2.03952  0.00142846
         709     2.11491     2.03963  0.00143039
         710     2.11494     2.03974  0.00143231
