n_block      H_average        errore
829 -0.445754 0.00250963
830 -0.445775 0.00250669
831 -0.445859 0.00250506
832 -0.445863 0.00250206
833 -0.445832 0.00249924
834 -0.445841 0.00249626
835 -0.44583 0.00249329
836 -0.445807 0.00249042
837 -0.445735 0.00248847
838 -0.445796 0.00248624
839 -0.445795 0.00248327
840 -0.4458 0.00248032
841 -0.445799 0.00247737
842 -0.445763 0.00247469
843 -0.445692 0.00247279
844 -0.445707 0.00246991
845 -0.445807 0.00246901
846 -0.445718 0.00246769
847 -0.445717 0.00246478
848 -0.445853 0.00246562
849 -0.445936 0.0024641
850 -0.446053 0.00246397
851 -0.446079 0.00246122
852 -0.446037 0.00245869
853 -0.446025 0.00245583
854 -0.446093 0.00245388
855 -0.446042 0.00245153
856 -0.445952 0.00245033
857 -0.445997 0.0024479
858 -0.445599 0.00247731
859 -0.445515 0.00247585
860 -0.445556 0.0024733
861 -0.445557 0.00247043
862 -0.445601 0.00246795
863 -0.445714 0.00246771
864 -0.445799 0.00246631
865 -0.445791 0.00246347
866 -0.445962 0.0024666
867 -0.445962 0.00246375
868 -0.445758 0.00246934
869 -0.445807 0.00246697
870 -0.445724 0.00246552
871 -0.445851 0.00246595
872 -0.445906 0.00246373
873 -0.445928 0.00246101
874 -0.445798 0.00246164
875 -0.445843 0.00245924
876 -0.445787 0.00245706
877 -0.445723 0.0024551
878 -0.445679 0.00245269
879 -0.445698 0.00244998
880 -0.445649 0.00244768
881 -0.445592 0.00244555
882 -0.445627 0.00244302
883 -0.445708 0.00244162
884 -0.445735 0.002439
885 -0.445758 0.00243635
886 -0.445783 0.00243373
887 -0.445644 0.00243496
888 -0.445582 0.002433
889 -0.445709 0.00243357
890 -0.445612 0.00243277
891 -0.445659 0.00243048
892 -0.445704 0.00242818
893 -0.445667 0.00242574
894 -0.445639 0.00242319
895 -0.445643 0.00242049
896 -0.445625 0.00241785
897 -0.445712 0.00241672
898 -0.44576 0.00241451
899 -0.445823 0.00241263
900 -0.44579 0.00241016
901 -0.445737 0.00240808
902 -0.445718 0.00240548
903 -0.445677 0.00240317
904 -0.445521 0.00240556
905 -0.445575 0.00240351
906 -0.445544 0.00240106
907 -0.445665 0.00240143
908 -0.445686 0.00239888
909 -0.445631 0.00239686
910 -0.44559 0.00239458
911 -0.445641 0.00239249
912 -0.445635 0.00238987
913 -0.445841 0.00239609
914 -0.445876 0.00239372
915 -0.445999 0.00239426
916 -0.446056 0.00239232
917 -0.446011 0.00239014
918 -0.445983 0.00238769
919 -0.445944 0.00238542
920 -0.446024 0.00238418
921 -0.446011 0.00238162
922 -0.44612 0.00238153
923 -0.446189 0.00237995
924 -0.446 0.00238487
925 -0.446032 0.00238252
926 -0.445966 0.00238088
927 -0.445877 0.00237997
928 -0.445577 0.00239617
929 -0.445597 0.00239367
930 -0.445456 0.00239528
931 -0.445546 0.00239443
932 -0.445479 0.00239279
933 -0.445498 0.0023903
934 -0.44556 0.00238853
935 -0.445608 0.00238647
936 -0.445599 0.00238393
937 -0.445684 0.00238288
938 -0.445617 0.00238127
939 -0.44556 0.00237942
940 -0.445637 0.00237814
941 -0.44561 0.00237576
942 -0.445512 0.00237529
943 -0.445195 0.00239385
944 -0.445269 0.00239247
945 -0.445426 0.00239504
946 -0.445238 0.00239986
947 -0.445261 0.00239744
948 -0.445111 0.00239956
949 -0.445061 0.00239755
950 -0.444986 0.00239621
951 -0.444923 0.00239452
952 -0.444883 0.00239234
953 -0.444884 0.00238983
954 -0.444929 0.00238775
955 -0.444916 0.00238529
956 -0.444977 0.00238359
957 -0.445028 0.00238164
958 -0.445014 0.0023792
959 -0.445003 0.00237674
960 -0.44507 0.00237521
961 -0.445057 0.00237276
962 -0.445071 0.00237034
963 -0.445235 0.00237353
964 -0.44529 0.0023717
